Business Name,Category,City,Phone Number,Website,Email
Volta Street,Restaurant,Milano,+39 02 39669373,http://www.voltastreet.it/,info@voltastreet.it
Bomaki,Restaurant,Milano,+39 02 39663308,,
Ai Muciaccia,Restaurant,Milano,+39 02 4800 0917,,
Qor,Restaurant,Milano,+3902463091,https://www.qor.it/,
Da Berti,Restaurant,Milano,+39 02 6694627,https://www.daberti.it/,info@daberti.it
Trattoria Casa Fontana - 23 risotti,Restaurant,Milano,,https://www.23risotti.it/,trattoria@23risotti.it
a Riccione,Restaurant,Milano,+39 02 683807,https://www.ristoranteariccione.net/,info@ristoranteariccione.com
Daniel,Restaurant,Milano,+39 02 63793837,http://www.danielcanzian.it/,
Officina 12,Restaurant,Milano,+39 02 89422261,https://www.officina12.it/,info@officina12.it
Fabbrica,Restaurant,Milano,+39 02 8358297,,
Ristorante Pizzeria Bande Nere,Restaurant,Milano,+393396755915,https://pizzeria-ristorante-bande-nere.business.site/,
Lo Scoglio sul Naviglio,Restaurant,Milano,+39 02 8912 3908,,
Taberna Vasca,Restaurant,Milano,,http://www.tabernavasca.it/,
Kapuziner Platz,Restaurant,Milano,+39 02 5410 1270,http://www.kapuziner.it,info@aruba.it
Signorvino,Restaurant,Milano,+39 02 29061583,https://www.signorvino.com/it/negozi/lombardia/milano/milano_viale_pasubio_2/B029.html,
Mammina,Restaurant,Milano,+39 02 98041961,,
Assaje,Restaurant,Milano,+39 02 5812 9363,,milano.lafoppa@assaje.it
The Brisket Smokehouse,Restaurant,Milano,,https://www.brisketmilano.com/,
Pepe Nero,Restaurant,Milano,,www.pepeneromilano.it,
Sushi Plus,Restaurant,Milano,+39 02 96848714,https://www.sushiplusrestaurant.com/,
Carmen 2,Restaurant,Milano,+39 02 89122085,,
Tutta 'Nata Storia,Restaurant,Milano,+39 02 8464137,,tuttanatastoria.pizzeria@gmail.com
Sole d'oriente,Restaurant,Milano,,https://soledoriente-milano.it/,
Mint Cafe,Restaurant,Milano,+39 02 89059930,,
